id,sequence,task,choices,response,response_type,domain,task_original,choices_original
XCUEUR,9,or;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that  {IA}   OR it is possible that {IB}, OR BOTH",It is possible that:  {IA}   AND {IB}  
ITBVRE,8,or;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that  {IA}   OR it is possible that {IB}, OR BOTH",It is possible that:  {IA}   AND {IB}  
SEGQEW,4,and;possible;A;possible;B,possible;and;A;B,False,verify,modal,It is possible that  {IA}   AND it is possible that {IB}  ,It is possible that:  {IA}   AND {IB}  
LPLPCG,0,or;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that  {IA}   OR it is possible that {IB}, OR BOTH",It is possible that:  {IA}   AND {IB}  
JPNGQY,2,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that:  {IA}   AND {IB}  ,It is impossible that  {IA}   AND it is impossible that {IB}  
YDFFNP,1,or;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that {A} OR it is possible that {B}, OR BOTH",It is possible that: {A} AND {B}  
HPTKUE,0,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that:  {IA}   AND {IB}  ,It is impossible that  {IA}   AND it is impossible that {IB}  
TAAKSL,0,and;possible;A;possible;B,possible;and;A;B,False,verify,modal,It is possible that  {IA}   AND it is possible that {IB}  ,It is possible that:  {IA}   AND {IB}  
ITBVRE,9,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that:  {IA}   AND {IB}  ,It is impossible that  {IA}   AND it is impossible that {IB}  
XCUEUR,11,and;possible;A;possible;B,possible;and;A;B,False,verify,modal,It is possible that  {IA}   AND it is possible that {IB}  ,It is possible that:  {IA}   AND {IB}  
BQCPBP,3,and;possible;A;possible;B,possible;and;A;B,False,verify,modal,It is possible that  {IA}   AND it is possible that {IB}  ,It is possible that:  {IA}   AND {IB}  
SQHMAN,12,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that: {A} AND {B}  ,It is impossible that {A} AND it is impossible that {B}  
YDFFNP,2,or;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that  {IA}   OR it is possible that {IB}, OR BOTH",It is possible that:  {IA}   AND {IB}  
XCUEUR,13,and;possible;A;possible;B,possible;and;A;B,False,verify,modal,It is possible that  {IA}   AND it is possible that {IB}  ,It is possible that:  {IA}   AND {IB}  
TAAKSL,1,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that:  {IA}   AND {IB}  ,It is impossible that  {IA}   AND it is impossible that {IB}  
BQCPBP,4,or;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that  {IA}   OR it is possible that {IB}, OR BOTH",It is possible that:  {IA}   AND {IB}  
SQHMAN,13,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that  {IA}   OR it is impossible that {IB}, OR BOTH","It is impossible that:  {IA}   OR {IB}, OR BOTH "
ITBVRE,10,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that {A} OR it is impossible that {B}, OR BOTH","It is impossible that: {A} OR {B}, OR BOTH "
XCUEUR,14,and;possible;A;possible;B,possible;and;A;B,False,verify,modal,It is possible that {A} AND it is possible that {B}  ,It is possible that: {A} AND {B}  
YDFFNP,3,or;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that  {IA}   OR it is possible that {IB}, OR BOTH",It is possible that:  {IA}   AND {IB}  
XJHHIS,0,and;possible;A;possible;B,possible;and;A;B,False,verify,modal,It is possible that  {IA}   AND it is possible that {IB}  ,It is possible that:  {IA}   AND {IB}  
SQHMAN,15,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that:  {IA}   AND {IB}  ,It is impossible that  {IA}   AND it is impossible that {IB}  
CTMWZM,6,or;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that  {IA}   OR it is possible that {IB}, OR BOTH",It is possible that:  {IA}   AND {IB}  
ENYFOZ,1,or;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that {A} OR it is possible that {B}, OR BOTH",It is possible that: {A} AND {B}  
ITBVRE,12,or;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that  {IA}   OR it is possible that {IB}, OR BOTH",It is possible that:  {IA}   AND {IB}  
HPTKUE,3,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that:  {IA}   AND {IB}  ,It is impossible that  {IA}   AND it is impossible that {IB}  
TQWQIM,2,and;possible;A;possible;B,possible;and;A;B,False,verify,modal,It is possible that  {IA}   AND it is possible that {IB}  ,It is possible that:  {IA}   AND {IB}  
ENYFOZ,2,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that {A} OR it is impossible that {B}, OR BOTH","It is impossible that: {A} OR {B}, OR BOTH "
TAAKSL,5,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that: {A} AND {B}  ,It is impossible that {A} AND it is impossible that {B}  
TQWQIM,3,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that:  {IA}   AND {IB}  ,It is impossible that  {IA}   AND it is impossible that {IB}  
ITBVRE,14,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that: {A} AND {B}  ,It is impossible that {A} AND it is impossible that {B}  
ELSFXS,12,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that: {A} AND {B}  ,It is impossible that {A} AND it is impossible that {B}  
ITBVRE,15,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that:  {IA}   AND {IB}  ,It is impossible that  {IA}   AND it is impossible that {IB}  
TAAKSL,6,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that {A} OR it is impossible that {B}, OR BOTH","It is impossible that: {A} OR {B}, OR BOTH "
XJHHIS,2,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that: {A} AND {B}  ,It is impossible that {A} AND it is impossible that {B}  
ENYFOZ,4,or;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that  {IA}   OR it is possible that {IB}, OR BOTH",It is possible that:  {IA}   AND {IB}  
LPLPCG,5,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that  {IA}   OR it is impossible that {B}, OR BOTH","It is impossible that:  {IA}   OR {IB}, OR BOTH "
CTMWZM,11,and;possible;A;possible;B,possible;and;A;B,False,verify,modal,It is possible that  {IA}   AND it is possible that {IB}  ,It is possible that:  {IA}   AND {IB}  
PMESOF,0,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that  {IA}   OR it is impossible that {B}, OR BOTH","It is impossible that:  {IA}   OR {IB}, OR BOTH "
TQWQIM,5,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that:  {IA}   AND {IB}  ,It is impossible that  {IA}   AND it is impossible that {IB}  
TAAKSL,7,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that:  {IA}   AND {IB}  ,It is impossible that  {IA}   AND it is impossible that {IB}  
XJHHIS,3,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that:  {IA}   AND {IB}  ,It is impossible that  {IA}   AND it is impossible that {IB}  
HPTKUE,7,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that: {A} AND {B}  ,It is impossible that {A} AND it is impossible that {B}  
CTMWZM,12,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that  {IA}   OR it is impossible that {B}, OR BOTH","It is impossible that:  {IA}   OR {IB}, OR BOTH "
YDFFNP,10,or;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that {A} OR it is possible that {B}  , OR BOTH",It is possible that: {A} AND {B}  
HPTKUE,8,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that: {A} AND {B}  ,It is impossible that {A} AND it is impossible that {B}  
UKUKHQ,2,and;possible;A;possible;B,possible;and;A;B,False,verify,modal,It is possible that  {IA}   AND it is possible that {IB}  ,It is possible that:  {IA}   AND {IB}  
UKUKHQ,3,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that  {IA}   OR it is impossible that {IB}, OR BOTH","It is impossible that:  {IA}   OR {IB}, OR BOTH "
UKUKHQ,4,or;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that {A} OR it is possible that {B}  , OR BOTH",It is possible that: {A} AND {B}  
UKUKHQ,5,and;possible;A;possible;B,possible;and;A;B,False,verify,modal,It is possible that  {IA}   AND it is possible that {IB}  ,It is possible that:  {IA}   AND {IB}  
LYDHGN,2,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that {A} OR it is impossible that {B}, OR BOTH","It is impossible that: {A} OR {B}, OR BOTH "
XJHHIS,5,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that: {A} AND {B}  ,It is impossible that {A} AND it is impossible that {B}  
BQCPBP,7,and;possible;A;possible;B,possible;and;A;B,False,verify,modal,It is possible that {A} AND it is possible that {B}  ,It is possible that: {A} AND {B}  
UKUKHQ,8,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that {A} OR it is impossible that {B}, OR BOTH","It is impossible that: {A} OR {B}, OR BOTH "
UKUKHQ,9,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that: {A} AND {B}  ,It is impossible that {A} AND it is impossible that {B}  
ENYFOZ,0,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that  {IA}   OR it is impossible that {IB}, OR BOTH","It is impossible that:  {IA}   OR {IB}, OR BOTH "
UKUKHQ,10,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that:  {IA}   AND {IB}  ,It is impossible that  {IA}   AND it is impossible that {IB}  
UKUKHQ,11,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that: {A} AND {B}  ,It is impossible that {A} AND it is impossible that {B}  
SEGQEW,9,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that: {A} AND {B}  ,It is impossible that {A} AND it is impossible that {B}  
PMESOF,6,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that {A} OR it is impossible that {B}, OR BOTH","It is impossible that: {A} OR {B}, OR BOTH "
UKUKHQ,13,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that:  {IA}   AND {IB}  ,It is impossible that  {IA}   AND it is impossible that {IB}  
TQWQIM,8,and;possible;A;possible;B,possible;and;A;B,False,verify,modal,It is possible that  {IA}   AND it is possible that {IB}  ,It is possible that:  {IA}   AND {IB}  
UKUKHQ,14,and;possible;A;possible;B,possible;and;A;B,False,verify,modal,It is possible that {A} AND it is possible that {B}  ,It is possible that: {A} AND {B}  
UKUKHQ,15,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that  {IA}   OR it is impossible that {B}, OR BOTH","It is impossible that:  {IA}   OR {IB}, OR BOTH "
CTMWZM,14,or;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that  {IA}   OR it is possible that {IB}, OR BOTH",It is possible that:  {IA}   AND {IB}  
TQWQIM,9,or;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that  {IA}   OR it is possible that {IB}, OR BOTH",It is possible that:  {IA}   AND {IB}  
LYDHGN,3,and;possible;A;possible;B,possible;and;A;B,False,verify,modal,It is possible that  {IA}   AND it is possible that {IB}  ,It is possible that:  {IA}   AND {IB}  
ENYFOZ,1,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that  {IA}   OR it is impossible that {B}, OR BOTH","It is impossible that:  {IA}   OR {IB}, OR BOTH "
PMESOF,11,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that: {A} AND {B}  ,It is impossible that {A} AND it is impossible that {B}  
HPTKUE,11,and;possible;A;possible;B,possible;and;A;B,False,verify,modal,It is possible that  {IA}   AND it is possible that {IB}  ,It is possible that:  {IA}   AND {IB}  
PCMEDH,1,and;possible;A;possible;B,possible;and;A;B,False,verify,modal,It is possible that  {IA}   AND it is possible that {IB}  ,It is possible that:  {IA}   AND {IB}  
PMESOF,12,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that {A} OR it is impossible that {B}, OR BOTH","It is impossible that: {A} OR {B}, OR BOTH "
PMESOF,14,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that:  {IA}   AND {IB}  ,It is impossible that  {IA}   AND it is impossible that {IB}  
PMESOF,15,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that: {A} AND {B}  ,It is impossible that {A} AND it is impossible that {B}  
ENYFOZ,2,and;possible;A;possible;B,possible;and;A;B,False,verify,modal,It is possible that  {IA}   AND it is possible that {IB}  ,It is possible that:  {IA}   AND {IB}  
PCMEDH,2,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that {A} OR it is impossible that {B}, OR BOTH","It is impossible that: {A} OR {B}, OR BOTH "
HPTKUE,12,and;possible;A;possible;B,possible;and;A;B,False,verify,modal,It is possible that  {IA}   AND it is possible that {IB}  ,It is possible that:  {IA}   AND {IB}  
TAAKSL,14,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that: {A} AND {B}  ,It is impossible that {A} AND it is impossible that {B}  
HCTJTZ,1,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that: {A} AND {B}  ,It is impossible that {A} AND it is impossible that {B}  
TQWQIM,12,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that {A} OR it is impossible that {B}, OR BOTH","It is impossible that: {A} OR {B}, OR BOTH "
ITPDTB,2,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that: {A} AND {B}  ,It is impossible that {A} AND it is impossible that {B}  
LYDHGN,5,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that:  {IA}   AND {IB}  ,It is impossible that  {IA}   AND it is impossible that {IB}  
TAAKSL,15,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that {A} OR it is impossible that {B}, OR BOTH","It is impossible that: {A} OR {B}, OR BOTH "
TQWQIM,13,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that  {IA}   OR it is impossible that {B}, OR BOTH","It is impossible that:  {IA}   OR {IB}, OR BOTH "
HPTKUE,13,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that  {IA}   OR it is impossible that {IB}, OR BOTH","It is impossible that:  {IA}   OR {IB}, OR BOTH "
ENYFOZ,5,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that {A} OR it is impossible that {B}, OR BOTH","It is impossible that: {A} OR {B}, OR BOTH "
LYDHGN,6,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that {A} OR it is impossible that {B}, OR BOTH","It is impossible that: {A} OR {B}, OR BOTH "
PCMEDH,4,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that: {A} AND {B}  ,It is impossible that {A} AND it is impossible that {B}  
ITPDTB,5,or;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that {A} OR it is possible that {B}  , OR BOTH",It is possible that: {A} AND {B}  
PCMEDH,5,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that:  {IA}   AND {IB}  ,It is impossible that  {IA}   AND it is impossible that {IB}  
LYDHGN,8,and;possible;A;possible;B,possible;and;A;B,False,verify,modal,It is possible that  {IA}   AND it is possible that {IB}  ,It is possible that:  {IA}   AND {IB}  
ITPDTB,7,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that  {IA}   OR it is impossible that {B}, OR BOTH","It is impossible that:  {IA}   OR {IB}, OR BOTH "
SEGQEW,12,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that:  {IA}   AND {IB}  ,It is impossible that  {IA}   AND it is impossible that {IB}  
PCMEDH,7,or;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that {A} OR it is possible that {B}  , OR BOTH",It is possible that: {A} AND {B}  
ITPDTB,8,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that {A} OR it is impossible that {B}, OR BOTH","It is impossible that: {A} OR {B}, OR BOTH "
SEGQEW,13,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that: {A} AND {B}  ,It is impossible that {A} AND it is impossible that {B}  
PCMEDH,8,or;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that  {IA}   OR it is possible that {IB}, OR BOTH",It is possible that:  {IA}   AND {IB}  
MSMNYL,0,and;possible;A;possible;B,possible;and;A;B,False,verify,modal,It is possible that  {IA}   AND it is possible that {IB}  ,It is possible that:  {IA}   AND {IB}  
BQCPBP,10,and;possible;A;possible;B,possible;and;A;B,False,verify,modal,It is possible that  {IA}   AND it is possible that {IB}  ,It is possible that:  {IA}   AND {IB}  
ENYFOZ,3,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that  {IA}   OR it is impossible that {B}, OR BOTH","It is impossible that:  {IA}   OR {IB}, OR BOTH "
LYDHGN,9,or;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that  {IA}   OR it is possible that {IB}, OR BOTH",It is possible that:  {IA}   AND {IB}  
PCMEDH,10,or;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that {A} OR it is possible that {B}, OR BOTH",It is possible that: {A} AND {B}  
SEGQEW,15,and;possible;A;possible;B,possible;and;A;B,False,verify,modal,It is possible that  {IA}   AND it is possible that {IB}  ,It is possible that:  {IA}   AND {IB}  
ITPDTB,11,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that: {A} AND {B}  ,It is impossible that {A} AND it is impossible that {B}  
PCMEDH,11,or;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that  {IA}   OR it is possible that {IB}, OR BOTH",It is possible that:  {IA}   AND {IB}  
BQCPBP,11,or;possible;A;possible;B,possible;and;A;B,False,verify,modal,"It is possible that  {IA}   OR it is possible that {IB}, OR BOTH",It is possible that:  {IA}   AND {IB}  
HCTJTZ,6,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that: {A} AND {B}  ,It is impossible that {A} AND it is impossible that {B}  
PCMEDH,12,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that:  {IA}   AND {IB}  ,It is impossible that  {IA}   AND it is impossible that {IB}  
ENYFOZ,5,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that  {IA}   OR it is impossible that {IB}, OR BOTH","It is impossible that:  {IA}   OR {IB}, OR BOTH "
XJHHIS,14,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that:  {IA}   AND {IB}  ,It is impossible that  {IA}   AND it is impossible that {IB}  
ABYNZM,4,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that: {A} AND {B}  ,It is impossible that {A} AND it is impossible that {B}  
ENYFOZ,6,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that: {A} AND {B}  ,It is impossible that {A} AND it is impossible that {B}  
ABYNZM,5,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that:  {IA}   AND {IB}  ,It is impossible that  {IA}   AND it is impossible that {IB}  
ABYNZM,6,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that: {A} AND {B}  ,It is impossible that {A} AND it is impossible that {B}  
ENYFOZ,7,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that {A} OR it is impossible that {B}, OR BOTH","It is impossible that: {A} OR {B}, OR BOTH "
RJOUYM,0,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that:  {IA}   AND {IB}  ,It is impossible that  {IA}   AND it is impossible that {IB}  
PCMEDH,15,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that  {IA}   OR it is impossible that {B}, OR BOTH","It is impossible that:  {IA}   OR {IB}, OR BOTH "
ABYNZM,7,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that:  {IA}   AND {IB}  ,It is impossible that  {IA}   AND it is impossible that {IB}  
RJOUYM,1,and;possible;A;possible;B,possible;and;A;B,False,verify,modal,It is possible that {A} AND it is possible that {B}  ,It is possible that: {A} AND {B}  
XJHHIS,15,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that {A} OR it is impossible that {B}, OR BOTH","It is impossible that: {A} OR {B}, OR BOTH "
ENYFOZ,8,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that {A} OR it is impossible that {B}, OR BOTH","It is impossible that: {A} OR {B}, OR BOTH "
BQCPBP,13,not;possible;and;A;B,and;not;possible;A;not;possible;B,False,verify,modal,It is impossible that:  {IA}   AND {IB}  ,It is impossible that  {IA}   AND it is impossible that {IB}  
ABYNZM,8,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that {A} OR it is impossible that {B}, OR BOTH","It is impossible that: {A} OR {B}, OR BOTH "
ABYNZM,9,or;not;possible;A;not;possible;B,not;possible;or;A;B,False,verify,modal,"It is impossible that {A} OR it is impossible that {B}, OR BOTH","It is impossible that: {A} OR {B}, OR BOTH "
