id,sequence,response_type,choices,response,task,event,codeBedingung,codeTrialtype,codeTrialno,codePrämisse,codeLOROGL,condition_code 1 Neutral 2 Räumlich 3 Visuell,trial type_1 Con_2Incon,prämissen_1 gl./ungl._2 ungl./gl.,fact_type_1 absteigend_2 aufsteigend,mögliche Antwort,corr_err,korrektes Modell_1 Ja_0 Nein,konsistenzbewertung_1 Ja_0 Nein,korrekte Konsistenzbewertung_0 Nein_1 Ja,0 korrekt konsistent_1 korrekt inkonsistent_2 falsch konsistent_3 falsch inkonsistent,revidiertes Modell_0 nicht revidiert_1 Glaubwürdig_2 Unglaubwürdig_3 falsch revidiert-gespiegeltes falsches Modell_4 falsch revidiert-richtiges Modell,revidiertes Modell_0 nicht revidiert_1 LO verschoben_2 RO verschoben_falsch revidiert gespiegeltes Modell_4falsch revidiert richtiges Modell,revidiertes Modell_0 LO=Glaubwürdig_1 LO=Unglaubwürdig_2 RO=Glaubwürdig_3 RO=Unglaubwürdig,domain,task_enc
1,2,verify,Right;C;B,True,BAC,29_N_Con_ug_aufauf_modri_factauf_revri_fact,N_,Co,ct,ug_a,ctauf_revri_fact,1,1,,,right,C,1,1,1,0,0,0,0,spatial-relational,29_N_Con_ug_aufauf_modri_factauf_revri_task
1,1,single-choice,CBA|ABC,CBA,Left;A;B/Right;C;B,127_R_Incon_ug_abauf_modri_factauf_revgri_lori_model,_R,_I,el,on_u,evgri_lori_model,2,2,,,right,E,0,0,1,1,1,1,1,spatial-relational,127_R_Incon_ug_abauf_modri_factauf_revgri_lori_task
1,2,verify,Right;A;C,False,ABC,127_R_Incon_ug_abauf_modri_factauf_revgri_lori_fact,_R,_I,ct,on_u,revgri_lori_fact,2,2,,,left,C,0,0,1,1,1,1,1,spatial-relational,127_R_Incon_ug_abauf_modri_factauf_revgri_lori_task
1,3,single-choice,CAB|BCA,BCA,ABC/Right;A;C,127_R_Incon_ug_abauf_modri_factauf_revgri_lori_revmodel,_R,_I,el,on_u,ri_lori_revmodel,2,2,,,right,C,0,0,1,1,1,1,1,spatial-relational,127_R_Incon_ug_abauf_modri_factauf_revgri_lori_task
1,1,single-choice,ABC|CBA,ABC,Left;A;B/Left;B;C,180_V_Incon_gu_abab_modle_factab_revgle_lole_model,_V,_I,el,on_g,evgle_lole_model,3,2,,,left,C,1,0,1,1,1,1,1,spatial-relational,180_V_Incon_gu_abab_modle_factab_revgle_lole_task
1,2,verify,Left;C;A,False,ABC,180_V_Incon_gu_abab_modle_factab_revgle_lole_fact,_V,_I,ct,on_g,revgle_lole_fact,3,2,,,left,C,1,0,1,1,1,1,1,spatial-relational,180_V_Incon_gu_abab_modle_factab_revgle_lole_task
1,3,single-choice,CAB|BCA,CAB,ABC/Left;C;A,180_V_Incon_gu_abab_modle_factab_revgle_lole_revmodel,_V,_I,el,on_g,le_lole_revmodel,3,2,,,left,C,1,0,1,1,1,1,1,spatial-relational,180_V_Incon_gu_abab_modle_factab_revgle_lole_task
1,1,single-choice,CBA|ABC,ABC,Left;A;B/Left;B;C,144_V_Con_ug_abab_modri_factab_revle_model,_V,_C,el,_ug_,ctab_revle_model,3,1,,,right,C,1,1,1,0,0,0,0,spatial-relational,144_V_Con_ug_abab_modri_factab_revle_task
1,2,verify,Left;A;C,True,ABC,144_V_Con_ug_abab_modri_factab_revle_fact,_V,_C,ct,_ug_,actab_revle_fact,3,1,,,right,C,1,1,1,0,0,0,0,spatial-relational,144_V_Con_ug_abab_modri_factab_revle_task
1,1,single-choice,ABC|CBA,CBA,Left;A;B/Left;B;C,68_R_Con_gu_abab_modle_factauf_revri_model,R_,Co,el,gu_a,tauf_revri_model,2,1,,,left,E,0,1,1,0,0,0,0,spatial-relational,68_R_Con_gu_abab_modle_factauf_revri_task
1,2,verify,Right;C;A,True,ABC,68_R_Con_gu_abab_modle_factauf_revri_fact,R_,Co,ct,gu_a,ctauf_revri_fact,2,1,,,right,C,0,1,1,0,0,0,0,spatial-relational,68_R_Con_gu_abab_modle_factauf_revri_task
1,1,single-choice,CAB|BAC,BAC,Right;A;B/Left;A;C,134_V_Con_gu_aufab_modri_factab_revri_model,_V,_C,el,_gu_,ctab_revri_model,3,1,,,right,C,1,1,1,0,0,0,0,spatial-relational,134_V_Con_gu_aufab_modri_factab_revri_task
1,2,verify,Left;B;C,True,BAC,134_V_Con_gu_aufab_modri_factab_revri_fact,_V,_C,ct,_gu_,actab_revri_fact,3,1,,,right,C,1,1,1,0,0,0,0,spatial-relational,134_V_Con_gu_aufab_modri_factab_revri_task
1,1,single-choice,BAC|CAB,BAC,Right;A;B/Right;C;A,33_N_Incon_gu_aufauf_modle_factauf_revgri_lole_model,N_,In,el,n_gu,evgri_lole_model,1,2,,,left,C,1,0,1,1,2,1,2,spatial-relational,33_N_Incon_gu_aufauf_modle_factauf_revgri_lole_task
1,2,verify,Right;B;C,False,BAC,33_N_Incon_gu_aufauf_modle_factauf_revgri_lole_fact,N_,In,ct,n_gu,revgri_lole_fact,1,2,,,left,C,1,0,1,1,2,1,2,spatial-relational,33_N_Incon_gu_aufauf_modle_factauf_revgri_lole_task
1,3,single-choice,ACB|CBA,ACB,BAC/Right;B;C,33_N_Incon_gu_aufauf_modle_factauf_revgri_lole_revmodel,N_,In,el,n_gu,ri_lole_revmodel,1,2,,,right,E,1,0,1,1,2,1,2,spatial-relational,33_N_Incon_gu_aufauf_modle_factauf_revgri_lole_task
1,1,single-choice,CAB|BAC,BAC,Right;A;B/Left;A;C,150_V_Con_gu_aufab_modri_factauf_revri_model,_V,_C,el,_gu_,tauf_revri_model,3,1,,,right,C,1,1,1,0,0,0,0,spatial-relational,150_V_Con_gu_aufab_modri_factauf_revri_task
1,2,verify,Right;C;B,True,BAC,150_V_Con_gu_aufab_modri_factauf_revri_fact,_V,_C,ct,_gu_,ctauf_revri_fact,3,1,,,right,C,1,1,1,0,0,0,0,spatial-relational,150_V_Con_gu_aufab_modri_factauf_revri_task
1,1,single-choice,BAC|CAB,BAC,Right;A;B/Left;A;C,18_N_Con_gu_aufab_modle_factab_revle_model,N_,Co,el,gu_a,ctab_revle_model,1,1,,,left,C,1,1,1,0,0,0,0,spatial-relational,18_N_Con_gu_aufab_modle_factab_revle_task
1,2,verify,Left;B;C,True,BAC,18_N_Con_gu_aufab_modle_factab_revle_fact,N_,Co,ct,gu_a,actab_revle_fact,1,1,,,right,C,1,1,1,0,0,0,0,spatial-relational,18_N_Con_gu_aufab_modle_factab_revle_task
1,1,single-choice,CAB|BAC,BAC,Right;A;B/Right;C;A,173_V_Incon_ug_aufauf_modri_factab_revgle_lori_model,_V,_I,el,on_u,evgle_lori_model,3,2,,,right,C,1,1,0,2,0,0,0,spatial-relational,173_V_Incon_ug_aufauf_modri_factab_revgle_lori_task
1,2,verify,Left;C;B,True,BAC,173_V_Incon_ug_aufauf_modri_factab_revgle_lori_fact,_V,_I,ct,on_u,revgle_lori_fact,3,2,,,left,E,1,1,0,2,0,0,0,spatial-relational,173_V_Incon_ug_aufauf_modri_factab_revgle_lori_task
1,1,single-choice,CBA|ABC,ABC,Left;A;B/Right;C;B,23_N_Con_gu_abauf_modri_factauf_revle_model,N_,Co,el,gu_a,tauf_revle_model,1,1,,,right,C,1,1,1,0,0,0,0,spatial-relational,23_N_Con_gu_abauf_modri_factauf_revle_task
1,2,verify,Right;C;A,True,ABC,23_N_Con_gu_abauf_modri_factauf_revle_fact,N_,Co,ct,gu_a,ctauf_revle_fact,1,1,,,right,C,1,1,1,0,0,0,0,spatial-relational,23_N_Con_gu_abauf_modri_factauf_revle_task
1,1,single-choice,ABC|CBA,ABC,Left;A;B/Right;C;B,155_V_Con_ug_abauf_modle_factab_revri_model,_V,_C,el,_ug_,ctab_revri_model,3,1,,,left,C,1,1,1,0,0,0,0,spatial-relational,155_V_Con_ug_abauf_modle_factab_revri_task
1,2,verify,Left;A;C,True,ABC,155_V_Con_ug_abauf_modle_factab_revri_fact,_V,_C,ct,_ug_,actab_revri_fact,3,1,,,right,C,1,1,1,0,0,0,0,spatial-relational,155_V_Con_ug_abauf_modle_factab_revri_task
1,1,single-choice,ABC|CBA,ABC,Left;A;B/Left;B;C,140_V_Con_ug_abab_modle_factauf_revri_model,_V,_C,el,_ug_,tauf_revri_model,3,1,,,left,C,1,1,1,0,0,0,0,spatial-relational,140_V_Con_ug_abab_modle_factauf_revri_task
1,2,verify,Right;C;A,True,ABC,140_V_Con_ug_abab_modle_factauf_revri_fact,_V,_C,ct,_ug_,ctauf_revri_fact,3,1,,,right,C,1,1,1,0,0,0,0,spatial-relational,140_V_Con_ug_abab_modle_factauf_revri_task
1,1,single-choice,CAB|BAC,BAC,Right;A;B/Left;A;C,54_N_Incon_gu_aufab_modri_factauf_revgle_lori_model,N_,In,el,n_gu,evgle_lori_model,1,2,,,right,C,1,0,1,1,2,1,2,spatial-relational,54_N_Incon_gu_aufab_modri_factauf_revgle_lori_task
1,2,verify,Right;B;C,False,BAC,54_N_Incon_gu_aufab_modri_factauf_revgle_lori_fact,N_,In,ct,n_gu,revgle_lori_fact,1,2,,,left,C,1,0,1,1,2,1,2,spatial-relational,54_N_Incon_gu_aufab_modri_factauf_revgle_lori_task
1,3,single-choice,CBA|ACB,ACB,BAC/Right;B;C,54_N_Incon_gu_aufab_modri_factauf_revgle_lori_revmodel,N_,In,el,n_gu,le_lori_revmodel,1,2,,,left,E,1,0,1,1,2,1,2,spatial-relational,54_N_Incon_gu_aufab_modri_factauf_revgle_lori_task
1,1,single-choice,ABC|CBA,CBA,Left;A;B/Right;C;B,187_V_Incon_ug_abauf_modle_factab_revgle_lori_model,_V,_I,el,on_u,evgle_lori_model,3,2,,,left,E,0,0,1,1,2,1,2,spatial-relational,187_V_Incon_ug_abauf_modle_factab_revgle_lori_task
1,2,verify,Left;C;A,False,ABC,187_V_Incon_ug_abauf_modle_factab_revgle_lori_fact,_V,_I,ct,on_u,revgle_lori_fact,3,2,,,left,C,0,0,1,1,2,1,2,spatial-relational,187_V_Incon_ug_abauf_modle_factab_revgle_lori_task
1,3,single-choice,BCA|CAB,CAB,ABC/Left;C;A,187_V_Incon_ug_abauf_modle_factab_revgle_lori_revmodel,_V,_I,el,on_u,le_lori_revmodel,3,2,,,left,E,0,0,1,1,2,1,2,spatial-relational,187_V_Incon_ug_abauf_modle_factab_revgle_lori_task
1,1,single-choice,ABC|CBA,ABC,Left;A;B/Right;C;B,75_R_Con_ug_abauf_modle_factauf_revri_model,R_,Co,el,ug_a,tauf_revri_model,2,1,,,left,C,1,1,1,0,0,0,0,spatial-relational,75_R_Con_ug_abauf_modle_factauf_revri_task
1,2,verify,Right;C;A,True,ABC,75_R_Con_ug_abauf_modle_factauf_revri_fact,R_,Co,ct,ug_a,ctauf_revri_fact,2,1,,,right,C,1,1,1,0,0,0,0,spatial-relational,75_R_Con_ug_abauf_modle_factauf_revri_task
1,1,single-choice,ABC|CBA,ABC,Left;A;B/Left;B;C,188_V_Incon_ug_abab_modle_factab_revgle_lori_model,_V,_I,el,on_u,evgle_lori_model,3,2,,,left,C,1,0,1,1,2,1,2,spatial-relational,188_V_Incon_ug_abab_modle_factab_revgle_lori_task
1,2,verify,Left;C;A,False,ABC,188_V_Incon_ug_abab_modle_factab_revgle_lori_fact,_V,_I,ct,on_u,revgle_lori_fact,3,2,,,left,C,1,0,1,1,2,1,2,spatial-relational,188_V_Incon_ug_abab_modle_factab_revgle_lori_task
1,3,single-choice,BCA|CAB,CAB,ABC/Left;C;A,188_V_Incon_ug_abab_modle_factab_revgle_lori_revmodel,_V,_I,el,on_u,le_lori_revmodel,3,2,,,left,E,1,0,1,1,2,1,2,spatial-relational,188_V_Incon_ug_abab_modle_factab_revgle_lori_task
1,1,single-choice,CAB|BAC,BAC,Right;A;B/Left;A;C,46_N_Incon_ug_aufab_modri_factab_revgle_lori_model,N_,In,el,n_ug,evgle_lori_model,1,2,,,right,C,1,0,1,1,2,1,2,spatial-relational,46_N_Incon_ug_aufab_modri_factab_revgle_lori_task
1,2,verify,Left;C;B,False,BAC,46_N_Incon_ug_aufab_modri_factab_revgle_lori_fact,N_,In,ct,n_ug,revgle_lori_fact,1,2,,,left,C,1,0,1,1,2,1,2,spatial-relational,46_N_Incon_ug_aufab_modri_factab_revgle_lori_task
1,3,single-choice,ACB|CBA,CBA,BAC/Left;C;B,46_N_Incon_ug_aufab_modri_factab_revgle_lori_revmodel,N_,In,el,n_ug,le_lori_revmodel,1,2,,,left,E,1,0,1,1,2,1,2,spatial-relational,46_N_Incon_ug_aufab_modri_factab_revgle_lori_task
1,1,single-choice,BAC|CAB,BAC,Right;A;B/Left;A;C,122_R_Incon_ug_aufab_modle_factab_revgri_lole_model,_R,_I,el,on_u,evgri_lole_model,2,2,,,left,C,1,1,0,2,0,0,0,spatial-relational,122_R_Incon_ug_aufab_modle_factab_revgri_lole_task
1,2,verify,Left;C;B,True,BAC,122_R_Incon_ug_aufab_modle_factab_revgri_lole_fact,_R,_I,ct,on_u,revgri_lole_fact,2,2,,,left,E,1,1,0,2,0,0,0,spatial-relational,122_R_Incon_ug_aufab_modle_factab_revgri_lole_task
1,1,single-choice,ABC|CBA,ABC,Left;A;B/Left;B;C,12_N_Con_ug_abab_modle_factauf_revri_model,N_,Co,el,ug_a,tauf_revri_model,1,1,,,left,C,1,1,1,0,0,0,0,spatial-relational,12_N_Con_ug_abab_modle_factauf_revri_task
1,2,verify,Right;C;A,True,ABC,12_N_Con_ug_abab_modle_factauf_revri_fact,N_,Co,ct,ug_a,ctauf_revri_fact,1,1,,,right,C,1,1,1,0,0,0,0,spatial-relational,12_N_Con_ug_abab_modle_factauf_revri_task
1,1,single-choice,CAB|BAC,BAC,Right;A;B/Right;C;A,181_V_Incon_gu_aufauf_modri_factauf_revgle_lori_model,_V,_I,el,on_g,evgle_lori_model,3,2,,,right,C,1,0,1,1,2,1,2,spatial-relational,181_V_Incon_gu_aufauf_modri_factauf_revgle_lori_task
1,2,verify,Right;B;C,False,BAC,181_V_Incon_gu_aufauf_modri_factauf_revgle_lori_fact,_V,_I,ct,on_g,revgle_lori_fact,3,2,,,left,C,1,0,1,1,2,1,2,spatial-relational,181_V_Incon_gu_aufauf_modri_factauf_revgle_lori_task
1,3,single-choice,CBA|ACB,ACB,BAC/Right;B;C,181_V_Incon_gu_aufauf_modri_factauf_revgle_lori_revmodel,_V,_I,el,on_g,le_lori_revmodel,3,2,,,left,E,1,0,1,1,2,1,2,spatial-relational,181_V_Incon_gu_aufauf_modri_factauf_revgle_lori_task
1,1,single-choice,CBA|ABC,ABC,Left;A;B/Right;C;B,71_R_Con_gu_abauf_modri_factab_revle_model,R_,Co,el,gu_a,ctab_revle_model,2,1,,,right,C,1,1,1,0,0,0,0,spatial-relational,71_R_Con_gu_abauf_modri_factab_revle_task
1,2,verify,Left;A;C,True,ABC,71_R_Con_gu_abauf_modri_factab_revle_fact,R_,Co,ct,gu_a,actab_revle_fact,2,1,,,right,C,1,1,1,0,0,0,0,spatial-relational,71_R_Con_gu_abauf_modri_factab_revle_task
1,1,single-choice,ABC|CBA,ABC,Left;A;B/Right;C;B,131_V_Con_gu_abauf_modle_factauf_revri_model,_V,_C,el,_gu_,tauf_revri_model,3,1,,,left,C,1,1,1,0,0,0,0,spatial-relational,131_V_Con_gu_abauf_modle_factauf_revri_task
1,2,verify,Right;C;A,True,ABC,131_V_Con_gu_abauf_modle_factauf_revri_fact,_V,_C,ct,_gu_,ctauf_revri_fact,3,1,,,right,C,1,1,1,0,0,0,0,spatial-relational,131_V_Con_gu_abauf_modle_factauf_revri_task
1,1,single-choice,CBA|ABC,ABC,Left;A;B/Left;B;C,72_R_Con_gu_abab_modri_factab_revle_model,R_,Co,el,gu_a,ctab_revle_model,2,1,,,right,C,1,1,1,0,0,0,0,spatial-relational,72_R_Con_gu_abab_modri_factab_revle_task
1,2,verify,Left;A;C,True,ABC,72_R_Con_gu_abab_modri_factab_revle_fact,R_,Co,ct,gu_a,actab_revle_fact,2,1,,,right,C,1,1,1,0,0,0,0,spatial-relational,72_R_Con_gu_abab_modri_factab_revle_task
1,1,single-choice,ABC|CBA,ABC,Left;A;B/Left;B;C,116_R_Incon_gu_abab_modle_factab_revgle_lole_model,_R,_I,el,on_g,evgle_lole_model,2,2,,,left,C,1,1,0,2,0,0,0,spatial-relational,116_R_Incon_gu_abab_modle_factab_revgle_lole_task
1,2,verify,Left;C;A,True,ABC,116_R_Incon_gu_abab_modle_factab_revgle_lole_fact,_R,_I,ct,on_g,revgle_lole_fact,2,2,,,left,E,1,1,0,2,0,0,0,spatial-relational,116_R_Incon_gu_abab_modle_factab_revgle_lole_task
1,1,single-choice,ABC|CBA,ABC,Left;A;B/Right;C;B,147_V_Con_gu_abauf_modle_factab_revri_model,_V,_C,el,_gu_,ctab_revri_model,3,1,,,left,C,1,1,1,0,0,0,0,spatial-relational,147_V_Con_gu_abauf_modle_factab_revri_task
1,2,verify,Left;A;C,True,ABC,147_V_Con_gu_abauf_modle_factab_revri_fact,_V,_C,ct,_gu_,actab_revri_fact,3,1,,,right,C,1,1,1,0,0,0,0,spatial-relational,147_V_Con_gu_abauf_modle_factab_revri_task
1,1,single-choice,BAC|CAB,BAC,Right;A;B/Right;C;A,137_V_Con_ug_aufauf_modle_factauf_revle_model,_V,_C,el,_ug_,tauf_revle_model,3,1,,,left,C,1,1,1,0,0,0,0,spatial-relational,137_V_Con_ug_aufauf_modle_factauf_revle_task
1,2,verify,Right;C;B,True,BAC,137_V_Con_ug_aufauf_modle_factauf_revle_fact,_V,_C,ct,_ug_,ctauf_revle_fact,3,1,,,right,C,1,1,1,0,0,0,0,spatial-relational,137_V_Con_ug_aufauf_modle_factauf_revle_task
1,1,single-choice,ABC|CBA,CBA,Left;A;B/Left;B;C,92_R_Con_ug_abab_modle_factab_revri_model,R_,Co,el,ug_a,ctab_revri_model,2,1,,,left,E,0,1,1,0,0,0,0,spatial-relational,92_R_Con_ug_abab_modle_factab_revri_task
1,2,verify,Left;A;C,True,ABC,92_R_Con_ug_abab_modle_factab_revri_fact,R_,Co,ct,ug_a,actab_revri_fact,2,1,,,right,C,0,1,1,0,0,0,0,spatial-relational,92_R_Con_ug_abab_modle_factab_revri_task
1,1,single-choice,CAB|BAC,BAC,Right;A;B/Left;A;C,14_N_Con_ug_aufab_modri_factab_revri_model,N_,Co,el,ug_a,ctab_revri_model,1,1,,,right,C,1,1,1,0,0,0,0,spatial-relational,14_N_Con_ug_aufab_modri_factab_revri_task
1,2,verify,Left;B;C,True,BAC,14_N_Con_ug_aufab_modri_factab_revri_fact,N_,Co,ct,ug_a,actab_revri_fact,1,1,,,right,C,1,1,1,0,0,0,0,spatial-relational,14_N_Con_ug_aufab_modri_factab_revri_task
1,1,single-choice,ABC|CBA,ABC,Left;A;B/Right;C;B,99_R_Incon_gu_abauf_modle_factauf_revgle_lori_model,R_,In,el,n_gu,evgle_lori_model,2,2,,,left,C,1,0,1,1,2,1,2,spatial-relational,99_R_Incon_gu_abauf_modle_factauf_revgle_lori_task
1,2,verify,Right;A;C,False,ABC,99_R_Incon_gu_abauf_modle_factauf_revgle_lori_fact,R_,In,ct,n_gu,revgle_lori_fact,2,2,,,left,C,1,0,1,1,2,1,2,spatial-relational,99_R_Incon_gu_abauf_modle_factauf_revgle_lori_task
1,3,single-choice,CAB|BCA,BCA,ABC/Right;A;C,99_R_Incon_gu_abauf_modle_factauf_revgle_lori_revmodel,R_,In,el,n_gu,le_lori_revmodel,2,2,,,left,E,1,0,1,1,2,1,2,spatial-relational,99_R_Incon_gu_abauf_modle_factauf_revgle_lori_task
1,1,single-choice,CBA|ABC,ABC,Left;A;B/Right;C;B,119_R_Incon_gu_abauf_modri_factauf_revgri_lole_model,_R,_I,el,on_g,evgri_lole_model,2,2,,,right,C,1,0,1,1,2,1,2,spatial-relational,119_R_Incon_gu_abauf_modri_factauf_revgri_lole_task
1,2,verify,Right;A;C,False,ABC,119_R_Incon_gu_abauf_modri_factauf_revgri_lole_fact,_R,_I,ct,on_g,revgri_lole_fact,2,2,,,left,C,1,0,1,1,2,1,2,spatial-relational,119_R_Incon_gu_abauf_modri_factauf_revgri_lole_task
1,3,single-choice,BCA|ACB,BCA,ABC/Right;A;C,119_R_Incon_gu_abauf_modri_factauf_revgri_lole_revmodel,_R,_I,el,on_g,ri_lole_revmodel,2,2,,,right,E,1,0,1,1,2,1,2,spatial-relational,119_R_Incon_gu_abauf_modri_factauf_revgri_lole_task
1,1,single-choice,CAB|BAC,BAC,Right;A;B/Right;C;A,101_R_Incon_gu_aufauf_modri_factab_revgle_lole_model,_R,_I,el,on_g,evgle_lole_model,2,2,,,right,C,1,0,1,1,2,2,4,spatial-relational,101_R_Incon_gu_aufauf_modri_factab_revgle_lole_task
1,2,verify,Left;C;B,False,BAC,101_R_Incon_gu_aufauf_modri_factab_revgle_lole_fact,_R,_I,ct,on_g,revgle_lole_fact,2,2,,,left,C,1,0,1,1,2,2,4,spatial-relational,101_R_Incon_gu_aufauf_modri_factab_revgle_lole_task
1,3,single-choice,CBA|ACB,ACB,BAC/Left;C;B,101_R_Incon_gu_aufauf_modri_factab_revgle_lole_revmodel,_R,_I,el,on_g,le_lole_revmodel,2,2,,,left,E,1,0,1,1,2,2,4,spatial-relational,101_R_Incon_gu_aufauf_modri_factab_revgle_lole_task
